"CBSA Code","Metropolitan Division Code","CSA Code","CBSA_Title","MMSA","Metropolitan Division Title","CSA Title","Counties","State Name","FIPS State Code","FIPS County Code","Central/Outlying County","county"
"1","10100",NA,NA,"Aberdeen, SD","Micropolitan Statistical Area",NA,NA,"Brown","South Dakota","46","013","Central","brown,south dakota"
"2","10100",NA,NA,"Aberdeen, SD","Micropolitan Statistical Area",NA,NA,"Edmunds","South Dakota","46","045","Outlying","edmunds,south dakota"
"3","10140",NA,NA,"Aberdeen, WA","Micropolitan Statistical Area",NA,NA,"Grays Harbor","Washington","53","027","Central","grays harbor,washington"
"4","10180",NA,NA,"Abilene, TX","Metropolitan Statistical Area",NA,NA,"Callahan","Texas","48","059","Outlying","callahan,texas"
"5","10180",NA,NA,"Abilene, TX","Metropolitan Statistical Area",NA,NA,"Jones","Texas","48","253","Outlying","jones,texas"
"6","10180",NA,NA,"Abilene, TX","Metropolitan Statistical Area",NA,NA,"Taylor","Texas","48","441","Central","taylor,texas"
"7","10220",NA,NA,"Ada, OK","Micropolitan Statistical Area",NA,NA,"Pontotoc","Oklahoma","40","123","Central","pontotoc,oklahoma"
"8","10300",NA,"220","Adrian, MI","Micropolitan Statistical Area",NA,"Detroit-Warren-Ann Arbor, MI","Lenawee","Michigan","26","091","Central","lenawee,michigan"
"9","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Aguada Municipio","Puerto Rico","72","003","Central","aguada municipio,puerto rico"
"10","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Aguadilla Municipio","Puerto Rico","72","005","Central","aguadilla municipio,puerto rico"
"11","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Añasco Municipio","Puerto Rico","72","011","Central","añasco municipio,puerto rico"
"12","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Isabela Municipio","Puerto Rico","72","071","Central","isabela municipio,puerto rico"
"13","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Lares Municipio","Puerto Rico","72","081","Central","lares municipio,puerto rico"
"14","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Moca Municipio","Puerto Rico","72","099","Central","moca municipio,puerto rico"
"15","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Rincón Municipio","Puerto Rico","72","117","Central","rincón municipio,puerto rico"
"16","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"San Sebastián Municipio","Puerto Rico","72","131","Central","san sebastián municipio,puerto rico"
"17","10380",NA,NA,"Aguadilla-Isabela, PR","Metropolitan Statistical Area",NA,NA,"Utuado Municipio","Puerto Rico","72","141","Central","utuado municipio,puerto rico"
"18","10420",NA,"184","Akron, OH","Metropolitan Statistical Area",NA,"Cleveland-Akron-Canton, OH","Portage","Ohio","39","133","Central","portage,ohio"
"19","10420",NA,"184","Akron, OH","Metropolitan Statistical Area",NA,"Cleveland-Akron-Canton, OH","Summit","Ohio","39","153","Central","summit,ohio"
"20","10460",NA,NA,"Alamogordo, NM","Micropolitan Statistical Area",NA,NA,"Otero","New Mexico","35","035","Central","otero,new mexico"
"21","10500",NA,NA,"Albany, GA","Metropolitan Statistical Area",NA,NA,"Dougherty","Georgia","13","095","Central","dougherty,georgia"
"22","10500",NA,NA,"Albany, GA","Metropolitan Statistical Area",NA,NA,"Lee","Georgia","13","177","Central","lee,georgia"
"23","10500",NA,NA,"Albany, GA","Metropolitan Statistical Area",NA,NA,"Terrell","Georgia","13","273","Outlying","terrell,georgia"
"24","10500",NA,NA,"Albany, GA","Metropolitan Statistical Area",NA,NA,"Worth","Georgia","13","321","Outlying","worth,georgia"
"25","10540",NA,"440","Albany-Lebanon, OR","Metropolitan Statistical Area",NA,"Portland-Vancouver-Salem, OR-WA","Linn","Oregon","41","043","Central","linn,oregon"
"26","10580",NA,"104","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",NA,"Albany-Schenectady, NY","Albany","New York","36","001","Central","albany,new york"
"27","10580",NA,"104","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",NA,"Albany-Schenectady, NY","Rensselaer","New York","36","083","Central","rensselaer,new york"
"28","10580",NA,"104","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",NA,"Albany-Schenectady, NY","Saratoga","New York","36","091","Central","saratoga,new york"
"29","10580",NA,"104","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",NA,"Albany-Schenectady, NY","Schenectady","New York","36","093","Central","schenectady,new york"
"30","10580",NA,"104","Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",NA,"Albany-Schenectady, NY","Schoharie","New York","36","095","Outlying","schoharie,new york"
"31","10620",NA,"172","Albemarle, NC","Micropolitan Statistical Area",NA,"Charlotte-Concord, NC-SC","Stanly","North Carolina","37","167","Central","stanly,north carolina"
"32","10660",NA,NA,"Albert Lea, MN","Micropolitan Statistical Area",NA,NA,"Freeborn","Minnesota","27","047","Central","freeborn,minnesota"
"33","10700",NA,NA,"Albertville, AL","Micropolitan Statistical Area",NA,NA,"Marshall","Alabama","01","095","Central","marshall,alabama"
"34","10740",NA,"106","Albuquerque, NM","Metropolitan Statistical Area",NA,"Albuquerque-Santa Fe-Las Vegas, NM","Bernalillo","New Mexico","35","001","Central","bernalillo,new mexico"
"35","10740",NA,"106","Albuquerque, NM","Metropolitan Statistical Area",NA,"Albuquerque-Santa Fe-Las Vegas, NM","Sandoval","New Mexico","35","043","Central","sandoval,new mexico"
"36","10740",NA,"106","Albuquerque, NM","Metropolitan Statistical Area",NA,"Albuquerque-Santa Fe-Las Vegas, NM","Torrance","New Mexico","35","057","Outlying","torrance,new mexico"
"37","10740",NA,"106","Albuquerque, NM","Metropolitan Statistical Area",NA,"Albuquerque-Santa Fe-Las Vegas, NM","Valencia","New Mexico","35","061","Outlying","valencia,new mexico"
"38","10760",NA,"388","Alexander City, AL","Micropolitan Statistical Area",NA,"Montgomery-Selma-Alexander City, AL","Coosa","Alabama","01","037","Outlying","coosa,alabama"
"39","10760",NA,"388","Alexander City, AL","Micropolitan Statistical Area",NA,"Montgomery-Selma-Alexander City, AL","Tallapoosa","Alabama","01","123","Central","tallapoosa,alabama"
"40","10780",NA,NA,"Alexandria, LA","Metropolitan Statistical Area",NA,NA,"Grant Parish","Louisiana","22","043","Outlying","grant parish,louisiana"
"41","10780",NA,NA,"Alexandria, LA","Metropolitan Statistical Area",NA,NA,"Rapides Parish","Louisiana","22","079","Central","rapides parish,louisiana"
"42","10820",NA,NA,"Alexandria, MN","Micropolitan Statistical Area",NA,NA,"Douglas","Minnesota","27","041","Central","douglas,minnesota"
"43","10860",NA,"204","Alice, TX","Micropolitan Statistical Area",NA,"Corpus Christi-Kingsville-Alice, TX","Duval","Texas","48","131","Outlying","duval,texas"
"44","10860",NA,"204","Alice, TX","Micropolitan Statistical Area",NA,"Corpus Christi-Kingsville-Alice, TX","Jim Wells","Texas","48","249","Central","jim wells,texas"
"45","10900",NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",NA,NA,"Warren","New Jersey","34","041","Central","warren,new jersey"
"46","10900",NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",NA,NA,"Carbon","Pennsylvania","42","025","Central","carbon,pennsylvania"
"47","10900",NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",NA,NA,"Lehigh","Pennsylvania","42","077","Central","lehigh,pennsylvania"
